feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
structure_bias,==1.0,38,0.2894736842105263,-0.2498684210526314,-838.4699999999999,6,43.16883723646558,-0.19495283018867926,106,-1395.4299999999998
structure_bias,==-1.0,39,0.41025641025641024,-0.1152564102564102,-256.54999999999995,2,82.89222373806275,-0.2444285714285715,105,-1977.35
tau_minutes,>=23.37(q0.1),129,0.35658914728682173,-0.2083720930232557,-1925.17,8,40.70258507058416,-0.21866666666666662,15,-308.73
tau_minutes,<23.37(q0.1),15,0.3333333333333333,-0.21866666666666662,-308.73,4,65.72409548796682,-0.2083720930232557,129,-1925.17
tau_minutes,>=38.71(q0.2),115,0.3391304347826087,-0.21604347826086961,-1894.3100000000002,8,36.238777068537864,-0.18327586206896546,29,-339.59
tau_minutes,<38.71(q0.2),29,0.41379310344827586,-0.18327586206896546,-339.59,5,26.234576989899587,-0.21604347826086961,115,-1894.3100000000002
tau_minutes,>=44.53(q0.3),101,0.3564356435643564,-0.21351485148514848,-1530.31,8,35.74534521348287,-0.1998837209302325,43,-703.59
tau_minutes,<44.53(q0.3),43,0.3488372093023256,-0.1998837209302325,-703.59,7,31.204252476584376,-0.21351485148514848,101,-1530.31
tau_minutes,>=48.73(q0.4),86,0.3372093023255814,-0.22709302325581399,-1303.9799999999998,8,42.509445442839144,-0.18327586206896562,58,-929.92
tau_minutes,<48.73(q0.4),58,0.3793103448275862,-0.18327586206896562,-929.92,7,38.08069511355816,-0.22709302325581399,86,-1303.9799999999998
tau_minutes,>=50.45(q0.5),73,0.3698630136986301,-0.20315068493150684,-962.9300000000001,8,43.29450822041723,-0.2159154929577466,71,-1270.97
tau_minutes,<50.45(q0.5),71,0.3380281690140845,-0.2159154929577466,-1270.97,8,29.302029158831445,-0.20315068493150684,73,-962.9300000000001
tau_minutes,>=53.3(q0.6),58,0.3793103448275862,-0.1978448275862068,-748.6899999999999,7,48.718665874209,-0.21726744186046515,86,-1485.21
tau_minutes,<53.3(q0.6),86,0.3372093023255814,-0.21726744186046515,-1485.21,8,30.86768874435265,-0.1978448275862068,58,-748.6899999999999
tau_minutes,>=56.41(q0.7),43,0.32558139534883723,-0.23883720930232544,-679.46,7,48.94078785727936,-0.196930693069307,101,-1554.44
tau_minutes,<56.41(q0.7),101,0.36633663366336633,-0.196930693069307,-1554.44,8,28.252618306271067,-0.23883720930232544,43,-679.46
tau_minutes,>=58.72(q0.8),29,0.3793103448275862,-0.19534482758620686,-313.51000000000005,7,68.07949902076936,-0.21300000000000008,115,-1920.39
tau_minutes,<58.72(q0.8),115,0.34782608695652173,-0.21300000000000008,-1920.39,8,27.186144481068947,-0.19534482758620686,29,-313.51000000000005
tau_minutes,>=59.63(q0.9),15,0.4666666666666667,-0.1166666666666667,-54.55999999999999,7,31.993428992892582,-0.22023255813953485,129,-2179.3399999999997
tau_minutes,<59.63(q0.9),129,0.34108527131782945,-0.22023255813953485,-2179.3399999999997,8,32.22489377517964,-0.1166666666666667,15,-54.55999999999999
vol_60m,>=0.0002436(q0.1),129,0.3643410852713178,-0.19492248062015516,-1948.9299999999998,7,36.63478576133746,-0.3343333333333334,15,-284.97
vol_60m,<0.0002436(q0.1),15,0.26666666666666666,-0.3343333333333334,-284.97,5,28.174895603045936,-0.19492248062015516,129,-1948.9299999999998
vol_60m,>=0.0003125(q0.2),115,0.391304347826087,-0.17217391304347834,-1686.01,7,33.75348735704048,-0.35724137931034483,29,-547.89
vol_60m,<0.0003125(q0.2),29,0.20689655172413793,-0.35724137931034483,-547.89,6,41.150595922539196,-0.17217391304347834,115,-1686.01
vol_60m,>=0.0003508(q0.3),101,0.39603960396039606,-0.15851485148514854,-1458.1,7,37.861252115059216,-0.32906976744186045,43,-775.8000000000001
vol_60m,<0.0003508(q0.3),43,0.2558139534883721,-0.32906976744186045,-775.8000000000001,6,41.091776230987364,-0.15851485148514854,101,-1458.1
vol_60m,>=0.0003964(q0.4),86,0.4069767441860465,-0.16616279069767453,-1231.6499999999999,7,33.21306326259413,-0.2736206896551724,58,-1002.25
vol_60m,<0.0003964(q0.4),58,0.27586206896551724,-0.2736206896551724,-1002.25,7,36.40374495743937,-0.16616279069767453,86,-1231.6499999999999
vol_60m,>=0.0004375(q0.5),72,0.4166666666666667,-0.14409722222222215,-940.54,7,39.25143564456891,-0.2747916666666666,72,-1293.3600000000001
vol_60m,<0.0004375(q0.5),72,0.2916666666666667,-0.2747916666666666,-1293.3600000000001,7,42.10655008891524,-0.14409722222222215,72,-940.54
vol_60m,>=0.000482(q0.6),58,0.41379310344827586,-0.15051724137931027,-714.6999999999999,6,32.90565232468191,-0.249186046511628,86,-1519.2
vol_60m,<0.000482(q0.6),86,0.313953488372093,-0.249186046511628,-1519.2,7,40.47758086629767,-0.15051724137931027,58,-714.6999999999999
vol_60m,>=0.0005519(q0.7),43,0.46511627906976744,-0.12011627906976735,-357.22,6,47.38354436293978,-0.24747524752475242,101,-1876.6799999999998
vol_60m,<0.0005519(q0.7),101,0.3069306930693069,-0.24747524752475242,-1876.6799999999998,8,40.92706268516743,-0.12011627906976735,43,-357.22
vol_60m,>=0.0006695(q0.8),29,0.4482758620689655,-0.13224137931034474,-329.53000000000003,5,40.91760029953054,-0.2289130434782609,115,-1904.3700000000001
vol_60m,<0.0006695(q0.8),115,0.33043478260869563,-0.2289130434782609,-1904.3700000000001,8,39.77437205097791,-0.13224137931034474,29,-329.53000000000003
