logged_at,logged_at_parsed,contract_ticker,side,would_win,would_pnl,p_up_v3_backfill,v3_agree_backfill
2026-06-16 13:19:59.188281+00:00,2026-06-16 13:19:59.188281+00:00,KXBTC15M-26JUN160930-30,yes,0.0,-32.2,0.5166652981798002,1
2026-06-16 13:40:15.776483+00:00,2026-06-16 13:40:15.776483+00:00,KXBTC15M-26JUN160945-45,no,0.0,-32.7,0.5166652981798002,0
2026-06-16 14:56:11.986359+00:00,2026-06-16 14:56:11.986359+00:00,KXBTC15M-26JUN161100-00,no,1.0,48.5,0.5198310888818236,0
2026-06-16 17:07:15.316516+00:00,2026-06-16 17:07:15.316516+00:00,KXBTC15M-26JUN161315-15,no,0.0,-49.41,0.5447665484591186,0
2026-06-16 17:22:25.369577+00:00,2026-06-16 17:22:25.369577+00:00,KXBTC15M-26JUN161330-30,no,1.0,15.4,0.5447665484591186,0
2026-06-16 17:32:32.356946+00:00,2026-06-16 17:32:32.356946+00:00,KXBTC15M-26JUN161345-45,no,1.0,42.07,0.5447665484591186,0
2026-06-16 20:09:59.570893+00:00,2026-06-16 20:09:59.570893+00:00,KXBTC15M-26JUN161615-15,no,0.0,-44.62,0.5410550643811056,0
2026-06-16 20:50:25.387142+00:00,2026-06-16 20:50:25.387142+00:00,KXBTC15M-26JUN161700-00,no,0.0,-42.8,0.5410550643811056,0
2026-06-16 22:31:28.917000+00:00,2026-06-16 22:31:28.917000+00:00,KXBTC15M-26JUN161845-45,no,1.0,33.21,0.5129829101586534,0
2026-06-16 23:01:50.013267+00:00,2026-06-16 23:01:50.013267+00:00,KXBTC15M-26JUN161915-15,yes,0.0,-20.15,0.5227005003998132,1
2026-06-16 23:16:59.817989+00:00,2026-06-16 23:16:59.817989+00:00,KXBTC15M-26JUN161930-30,no,1.0,28.9,0.5227005003998132,0
2026-06-16 23:32:09.256361+00:00,2026-06-16 23:32:09.256361+00:00,KXBTC15M-26JUN161945-45,no,1.0,57.78,0.5227005003998132,0
2026-06-17 03:33:29.682911+00:00,2026-06-17 03:33:29.682911+00:00,KXBTC15M-26JUN162345-45,no,0.0,-59.99,0.4814548167252092,1
2026-06-17 03:48:41.264861+00:00,2026-06-17 03:48:41.264861+00:00,KXBTC15M-26JUN170000-00,no,0.0,-10.92,0.4814548167252092,1
2026-06-17 04:08:57.055973+00:00,2026-06-17 04:08:57.055973+00:00,KXBTC15M-26JUN170015-15,no,0.0,-59.21,0.4978080323566525,1
2026-06-17 04:54:31.638388+00:00,2026-06-17 04:54:31.638388+00:00,KXBTC15M-26JUN170100-00,no,1.0,238.82,0.4978080323566525,1
2026-06-17 06:10:32.192716+00:00,2026-06-17 06:10:32.192716+00:00,KXBTC15M-26JUN170215-15,no,0.0,-12.96,0.5531491383647694,0
2026-06-17 08:47:36.275995+00:00,2026-06-17 08:47:36.275995+00:00,KXBTC15M-26JUN170500-00,no,1.0,26.45,0.5496030812062345,0
2026-06-17 09:48:24.901905+00:00,2026-06-17 09:48:24.901905+00:00,KXBTC15M-26JUN170600-00,no,1.0,33.83,0.5571737975381826,0
2026-06-17 10:23:52.355945+00:00,2026-06-17 10:23:52.355945+00:00,KXBTC15M-26JUN170630-30,no,0.0,-59.94,0.5881635946674145,0
2026-06-17 10:34:01.100247+00:00,2026-06-17 10:34:01.100247+00:00,KXBTC15M-26JUN170645-45,no,1.0,16.09,0.5881635946674145,0
2026-06-17 11:24:40.856841+00:00,2026-06-17 11:24:40.856841+00:00,KXBTC15M-26JUN170730-30,no,0.0,-60.06,0.5724635862410146,0
2026-06-17 11:34:49.352102+00:00,2026-06-17 11:34:49.352102+00:00,KXBTC15M-26JUN170745-45,no,0.0,-6.97,0.5724635862410146,0
2026-06-17 12:05:13.171174+00:00,2026-06-17 12:05:13.171174+00:00,KXBTC15M-26JUN170815-15,no,0.0,-11.31,0.5110549083437796,0
2026-06-17 15:02:34.468249+00:00,2026-06-17 15:02:34.468249+00:00,KXBTC15M-26JUN171115-15,no,0.0,-22.12,0.538624114036814,0
2026-06-17 15:22:50.429886+00:00,2026-06-17 15:22:50.429886+00:00,KXBTC15M-26JUN171130-30,no,0.0,-49.23,0.538624114036814,0
2026-06-17 19:31:09.251133+00:00,2026-06-17 19:31:09.251133+00:00,KXBTC15M-26JUN171545-45,no,1.0,53.97,0.5368819503120458,0
2026-06-17 19:56:24.914560+00:00,2026-06-17 19:56:24.914560+00:00,KXBTC15M-26JUN171600-00,no,0.0,-26.98,0.5368819503120458,0
2026-06-17 20:06:33.382174+00:00,2026-06-17 20:06:33.382174+00:00,KXBTC15M-26JUN171615-15,no,1.0,207.48,0.5249799839712954,0
2026-06-17 20:21:43.418610+00:00,2026-06-17 20:21:43.418610+00:00,KXBTC15M-26JUN171630-30,no,0.0,-50.17,0.5249799839712954,0
2026-06-17 20:46:59.338400+00:00,2026-06-17 20:46:59.338400+00:00,KXBTC15M-26JUN171700-00,no,0.0,-24.3,0.5249799839712954,0
2026-06-17 21:41:48.889798+00:00,2026-06-17 21:41:48.889798+00:00,KXBTC15M-26JUN171745-45,no,1.0,147.98,0.5219943436597126,0
2026-06-17 21:46:53.687092+00:00,2026-06-17 21:46:53.687092+00:00,KXBTC15M-26JUN171800-00,no,0.0,-21.56,0.5219943436597126,0
2026-06-17 22:32:29.885909+00:00,2026-06-17 22:32:29.885909+00:00,KXBTC15M-26JUN171845-45,no,1.0,14.13,0.5331700903159599,0
2026-06-18 10:16:12.825579+00:00,2026-06-18 10:16:12.825579+00:00,KXBTC15M-26JUN180630-30,no,1.0,66.64,0.5351694098392706,0
2026-06-18 10:31:39.966439+00:00,2026-06-18 10:31:39.966439+00:00,KXBTC15M-26JUN180645-45,no,0.0,-37.77,0.5351694098392706,0
2026-06-18 10:47:02.312096+00:00,2026-06-18 10:47:02.312096+00:00,KXBTC15M-26JUN180700-00,no,0.0,-45.82,0.5351694098392706,0
2026-06-18 11:02:14.838545+00:00,2026-06-18 11:02:14.838545+00:00,KXBTC15M-26JUN180715-15,no,1.0,332.12,0.47351753563132504,1
