config,week,n,auc,rank_ic
B,2026-03-05/2026-03-11,168,0.4535612535612536,-0.08023302985385598
B,2026-03-12/2026-03-18,168,0.4909376337947767,-0.015671158809819247
B,2026-03-19/2026-03-25,168,0.576966690290574,0.1354045391420202
B,2026-03-26/2026-04-01,168,0.48671875,-0.02309513304970428
B,2026-04-02/2026-04-08,168,0.5985116938341601,0.17091996138177576
B,2026-04-09/2026-04-15,168,0.5145975056689343,0.025328531854687256
B,2026-04-16/2026-04-22,168,0.5330637150560522,0.05773906584386434
B,2026-04-23/2026-04-29,168,0.5028380871292748,0.004912721173830947
B,2026-04-30/2026-05-06,168,0.5746214852198991,0.12813990576585935
B,2026-05-07/2026-05-13,168,0.5165482954545454,0.02863049823053168
B,2026-05-14/2026-05-20,168,0.5058890307932453,0.010194018987836277
B,2026-05-21/2026-05-27,168,0.5343039772727273,0.059355738300812526
B,2026-05-28/2026-06-03,168,0.5214203565267396,0.03683797863522074
B,2026-06-04/2026-06-10,168,0.4995745887691435,-0.0007366398975145373
B,2026-06-11/2026-06-17,168,0.5560124787294385,0.09699091983941407
B,2026-06-18/2026-06-24,168,0.5534774569762481,0.0924634842328572
B,2026-06-25/2026-07-01,168,0.5290194408968355,0.050232001905306384
B,2026-07-02/2026-07-08,20,0.45833333333333337,-0.0708258638118892
E,2024-06-27/2024-07-03,24,0.319327731092437,-0.28497033704105923
E,2024-07-04/2024-07-10,168,0.4768169534916797,-0.040088393888597695
E,2024-07-11/2024-07-17,168,0.5781542898341745,0.13498022092254672
E,2024-07-18/2024-07-24,168,0.5177179305457122,0.030695990455447183
E,2024-07-25/2024-07-31,168,0.5979140059599829,0.1694881298158545
E,2024-08-01/2024-08-07,168,0.493479801559178,-0.011293079157049513
E,2024-08-08/2024-08-14,168,0.5499858196256381,0.08661406572591532
E,2024-08-15/2024-08-21,168,0.49928315412186375,-0.0012404516981687288
E,2024-08-22/2024-08-28,168,0.5363636363636363,0.0629212526398142
E,2024-08-29/2024-09-04,168,0.5559886605244507,0.09726583861335107
E,2024-09-05/2024-09-11,168,0.4924731182795699,-0.01300862218368781
E,2024-09-12/2024-09-18,168,0.5026931254429483,0.004686881784869575
E,2024-09-19/2024-09-25,168,0.5144557823129251,0.02518704635440279
E,2024-09-26/2024-10-02,168,0.5897435897435899,0.1551888030303854
E,2024-10-03/2024-10-09,168,0.5257812500000001,0.04460829350739131
E,2024-10-10/2024-10-16,168,0.5011500862564693,0.0019778980708185048
E,2024-10-17/2024-10-23,168,0.5190340909090909,0.03293340486088417
E,2024-10-24/2024-10-30,168,0.4846431146359048,-0.026370387364599655
E,2024-10-31/2024-11-06,168,0.4880341880341881,-0.02067347602809481
E,2024-11-07/2024-11-13,168,0.45615576050358664,-0.07476731762445821
