feature,split,n,episodes,edge,ep_edge,P_pos,wk_neg_frac,n_weeks,streak_hits,pnl
r_rsi_5m,< 46,623,295,-0.013142054574638838,-0.03641003026634383,0.057,0.5555555555555556,9,0,408.28
r_stoch_5m,< 5.155,156,111,-0.010737179487179485,-0.03181359134134134,0.20866666666666667,0.5555555555555556,9,0,182.65999999999985
r_stoch_5m,< 17.18,312,194,-0.03373397435897436,-0.0458110891834397,0.058,0.6666666666666666,9,0,56.48000000000002
r_stoch_5m,< 29.12,467,252,-0.034497858672376876,-0.06347150884668683,0.009333333333333334,0.6666666666666666,9,0,-185.86999999999972
r_stoch_5m,< 41.44,623,304,-0.011766452648475121,-0.035283065385646885,0.058333333333333334,0.3333333333333333,9,0,319.6500000000002
r_stoch_5m,< 54.17,777,354,-0.005222007722007719,-0.02065854899224285,0.16166666666666665,0.3333333333333333,9,0,613.2399999999999
r_donch_5m,< 0.08858,156,106,-0.06282051282051282,-0.06174783071278824,0.056,0.8888888888888888,9,0,-298.0
r_donch_5m,< 0.1972,312,182,-0.05392628205128204,-0.07856504884004883,0.0036666666666666666,0.7777777777777778,9,0,-185.96999999999986
r_donch_5m,< 0.298,467,239,-0.05157494646680942,-0.0802765441353161,0.0013333333333333333,0.6666666666666666,9,0,-765.6800000000001
r_donch_5m,< 0.4149,623,287,-0.02482423756019261,-0.04371374670340306,0.028,0.5555555555555556,9,0,67.97000000000001
r_donch_5m,< 0.5455,778,332,-0.012477506426735218,-0.03806677093298071,0.03766666666666667,0.4444444444444444,9,0,332.54999999999984
r_kc_pctb_5m,< -0.07666,156,103,-0.008365384615384608,-0.04486007173678532,0.15266666666666667,0.5555555555555556,9,0,391.11
r_kc_pctb_5m,< 0.126,312,177,-0.022597756410256402,-0.05066263276836158,0.05466666666666667,0.5555555555555556,9,0,266.53000000000003
r_kc_pctb_5m,< 0.259,467,249,-0.02802034261241969,-0.05017625498501944,0.025666666666666667,0.4444444444444444,9,0,275.4900000000003
r_kc_pctb_5m,< 0.4061,623,306,-0.007376404494382022,-0.030079210882871667,0.08766666666666667,0.3333333333333333,9,0,698.1299999999999
r_kc_pctb_5m,< 0.5321,778,363,-0.010157455012853468,-0.03710909536563325,0.03,0.5555555555555556,9,0,32.02000000000015
r_kc_pctb_5m,>= 1.107,156,108,-0.015131410256410262,0.01666104886831276,0.6646666666666666,0.5555555555555556,9,2,-510.89
r_chg_15m,< -0.3559,156,127,-0.048881410256410254,-0.03391760126859142,0.179,0.6666666666666666,9,0,-509.56999999999994
r_chg_15m,< -0.2156,312,218,-0.03870192307692307,-0.026939394113149846,0.18033333333333335,0.5555555555555556,9,1,-344.2400000000001
r_chg_15m,< -0.1272,467,293,-0.03355460385438972,-0.03845087220326128,0.06066666666666667,0.7777777777777778,9,1,-674.8700000000001
r_chg_15m,< -0.0556,623,334,-0.010794542536115573,-0.024780353765556904,0.119,0.4444444444444444,9,1,53.40000000000009
r_bb_pctb_15m,< 0.09184,156,88,-0.04892628205128205,-0.07169402601911977,0.027333333333333334,0.5555555555555556,9,0,-284.47
r_bb_pctb_15m,< 0.206,312,143,-0.03115865384615385,-0.050880240564990575,0.03766666666666667,0.6666666666666666,9,0,-325.9
r_bb_pctb_15m,< 0.3078,467,200,-0.04219807280513919,-0.06498134590686275,0.006,0.6666666666666666,9,0,-736.4100000000002
r_bb_pctb_15m,< 0.4027,623,250,-0.02079293739967897,-0.05422903108127493,0.011,0.5555555555555556,9,1,-386.2900000000001
r_bb_pctb_15m,< 0.5004,778,302,-0.0056606683804627245,-0.02562882645455188,0.12166666666666667,0.3333333333333333,9,1,219.7199999999998
r_bb_width_15m,>= 0.03229,312,128,-0.009759615384615391,-0.018421409625685878,0.28833333333333333,0.6666666666666666,9,0,-551.91
r_rsi_15m,< 30.96,156,84,-0.07078525641025639,-0.10862421866096865,0.002,0.5555555555555556,9,0,-541.1199999999999
r_rsi_15m,< 37.15,312,142,-0.027748397435897427,-0.05480199554352257,0.03966666666666667,0.6666666666666666,9,0,-288.79000000000013
r_rsi_15m,< 42.25,467,204,-0.03788329764453961,-0.0639604138239892,0.004666666666666667,0.5555555555555556,9,0,-674.0000000000001
r_rsi_15m,< 46.11,623,261,-0.01574879614767255,-0.041733449331445106,0.044,0.4444444444444444,9,0,151.30999999999995
r_stoch_15m,< 11.11,156,100,-0.09185897435897435,-0.12665029722222224,0.0003333333333333333,0.6666666666666666,9,0,-584.86
r_stoch_15m,< 20.96,312,162,-0.06344711538461538,-0.0700019190560811,0.008666666666666666,0.7777777777777778,9,0,-777.6299999999999
r_stoch_15m,< 30.09,467,208,-0.04268843683083511,-0.06697111332529807,0.005666666666666667,0.7777777777777778,9,1,-727.2300000000001
r_stoch_15m,< 41.43,623,255,-0.028673354735152486,-0.05012587782415799,0.014666666666666666,0.5555555555555556,9,1,-805.5300000000002
r_stoch_15m,< 52.9,778,309,-0.005750000000000002,-0.028966235696848315,0.086,0.3333333333333333,9,1,6.7199999999998
r_donch_15m,< 0.1248,156,96,-0.04442307692307691,-0.04901944791666666,0.108,0.5555555555555556,9,0,-74.5500000000001
r_donch_15m,< 0.2165,312,155,-0.053511217948717944,-0.07808623489503329,0.007333333333333333,0.5555555555555556,9,0,-695.7600000000001
r_donch_15m,< 0.3033,467,202,-0.0397269807280514,-0.07505552009337839,0.0013333333333333333,0.5555555555555556,9,1,-937.4900000000001
r_donch_15m,< 0.4016,623,250,-0.022276886035313002,-0.047648534466230935,0.017333333333333333,0.4444444444444444,9,1,-853.58
r_kc_pctb_15m,< 0.06038,156,90,-0.07248397435897437,-0.10983940479582145,0.0016666666666666668,0.6666666666666666,9,0,-747.8
r_kc_pctb_15m,< 0.2048,312,159,-0.05770032051282051,-0.08725270432764301,0.001,0.7777777777777778,9,0,-804.9
r_kc_pctb_15m,< 0.3218,467,207,-0.03245503211991435,-0.059363139362132396,0.013,0.5555555555555556,9,0,-333.65999999999997
r_kc_pctb_15m,< 0.4203,623,271,-0.01261878009630818,-0.02471093534051587,0.138,0.4444444444444444,9,0,325.2500000000003
r_kc_pctb_15m,< 0.5177,778,316,-0.005422879177377894,-0.0231680079522667,0.136,0.4444444444444444,9,1,741.7099999999999
r_chg_1h,< -0.7621,156,84,-0.03869871794871796,-0.07170599924843675,0.042,0.5555555555555556,9,0,-113.22000000000003
