logged_at,contract_ticker,p_market,decision,side,would_win,would_pnl,asset,logged_at_p,effective,smc_state,be,won
2026-04-12 03:00:26,KXBTCD-26APR1200-T71899.99,0.35,trade,no,True,26.92,BTC,2026-04-12 03:00:26+00:00,2026-04-12 03:00:00+00:00,1.0,0.65,True
2026-04-12 03:11:11,KXBTCD-26APR1200-T71599.99,0.705,trade,yes,True,20.92,BTC,2026-04-12 03:11:11+00:00,2026-04-12 03:00:00+00:00,1.0,0.705,True
2026-04-12 03:12:18,KXBTCD-26APR1200-T71799.99,0.285,trade,no,True,19.93,BTC,2026-04-12 03:12:18+00:00,2026-04-12 03:00:00+00:00,1.0,0.7150000000000001,True
2026-04-12 04:01:07,KXBTCD-26APR1201-T71799.99,0.255,trade,no,True,17.11,BTC,2026-04-12 04:01:07+00:00,2026-04-12 04:00:00+00:00,1.0,0.745,True
2026-04-12 04:19:36,KXBTCD-26APR1201-T71699.99,0.235,trade,no,True,15.36,BTC,2026-04-12 04:19:36+00:00,2026-04-12 04:00:00+00:00,1.0,0.765,True
2026-04-12 04:37:38,KXBTCD-26APR1201-T71499.99,0.72,trade,yes,False,-50.0,BTC,2026-04-12 04:37:38+00:00,2026-04-12 04:00:00+00:00,1.0,0.72,False
2026-04-12 05:00:59,KXBTCD-26APR1202-T71599.99,0.26,trade,no,False,-50.0,BTC,2026-04-12 05:00:59+00:00,2026-04-12 05:00:00+00:00,1.0,0.74,False
2026-04-12 05:02:03,KXBTCD-26APR1202-T71399.99,0.635,trade,yes,True,28.74,BTC,2026-04-12 05:02:03+00:00,2026-04-12 05:00:00+00:00,1.0,0.635,True
2026-04-12 05:11:42,KXBTCD-26APR1202-T71699.99,0.24,trade,no,False,-50.0,BTC,2026-04-12 05:11:42+00:00,2026-04-12 05:00:00+00:00,1.0,0.76,False
2026-04-12 06:00:59,KXBTCD-26APR1203-T71699.99,0.615,trade,yes,False,-50.0,BTC,2026-04-12 06:00:59+00:00,2026-04-12 06:00:00+00:00,1.0,0.615,False
2026-04-12 06:02:03,KXBTCD-26APR1203-T71899.99,0.17,trade,no,True,10.24,BTC,2026-04-12 06:02:03+00:00,2026-04-12 06:00:00+00:00,1.0,0.83,True
2026-04-12 06:17:04,KXBTCD-26APR1203-T71799.99,0.335,trade,no,True,25.19,BTC,2026-04-12 06:17:04+00:00,2026-04-12 06:00:00+00:00,1.0,0.665,True
2026-04-12 07:00:05,KXBTCD-26APR1204-T71599.99,0.705,trade,yes,True,20.92,BTC,2026-04-12 07:00:05+00:00,2026-04-12 07:00:00+00:00,1.0,0.705,True
2026-04-12 07:05:29,KXBTCD-26APR1204-T71699.99,0.295,trade,no,False,-50.0,BTC,2026-04-12 07:05:29+00:00,2026-04-12 07:00:00+00:00,1.0,0.7050000000000001,False
2026-04-12 07:16:15,KXBTCD-26APR1204-T71799.99,0.155,trade,no,True,9.17,BTC,2026-04-12 07:16:15+00:00,2026-04-12 07:00:00+00:00,1.0,0.845,True
2026-04-12 08:00:11,KXBTCD-26APR1205-T71799.99,0.32,trade,no,True,23.53,BTC,2026-04-12 08:00:11+00:00,2026-04-12 08:00:00+00:00,1.0,0.6799999999999999,True
2026-04-12 08:01:16,KXBTCD-26APR1205-T71699.99,0.555,trade,yes,False,-49.05,BTC,2026-04-12 08:01:16+00:00,2026-04-12 08:00:00+00:00,1.0,0.555,False
2026-04-12 08:11:59,KXBTCD-26APR1205-T71599.99,0.735,trade,yes,True,18.03,BTC,2026-04-12 08:11:59+00:00,2026-04-12 08:00:00+00:00,1.0,0.735,True
2026-04-12 09:04:33,KXBTCD-26APR1206-T71699.99,0.235,trade,no,True,15.36,BTC,2026-04-12 09:04:33+00:00,2026-04-12 09:00:00+00:00,1.0,0.765,True
2026-04-12 09:18:31,KXBTCD-26APR1206-T71599.99,0.625,trade,yes,False,-50.0,BTC,2026-04-12 09:18:31+00:00,2026-04-12 09:00:00+00:00,1.0,0.625,False
2026-04-12 10:11:01,KXBTCD-26APR1207-T71599.99,0.64,trade,yes,False,-50.0,BTC,2026-04-12 10:11:01+00:00,2026-04-12 10:00:00+00:00,1.0,0.64,False
2026-04-12 10:34:36,KXBTCD-26APR1207-T71699.99,0.165,trade,no,True,9.88,BTC,2026-04-12 10:34:36+00:00,2026-04-12 10:00:00+00:00,1.0,0.835,True
2026-04-12 10:49:41,KXBTCD-26APR1207-T71499.99,0.785,trade,yes,False,-50.0,BTC,2026-04-12 10:49:41+00:00,2026-04-12 10:00:00+00:00,1.0,0.785,False
2026-04-12 11:03:38,KXBTCD-26APR1208-T71499.99,0.42,trade,yes,True,69.05,BTC,2026-04-12 11:03:38+00:00,2026-04-12 11:00:00+00:00,1.0,0.42,True
2026-04-12 11:10:06,KXBTCD-26APR1208-T71599.99,0.21,trade,no,True,13.29,BTC,2026-04-12 11:10:06+00:00,2026-04-12 11:00:00+00:00,1.0,0.79,True
2026-04-12 12:00:18,KXBTCD-26APR1209-T71599.99,0.195,trade,no,True,12.11,BTC,2026-04-12 12:00:18+00:00,2026-04-12 12:00:00+00:00,1.0,0.8049999999999999,True
2026-04-12 12:13:13,KXBTCD-26APR1209-T71499.99,0.225,trade,no,True,14.52,BTC,2026-04-12 12:13:13+00:00,2026-04-12 12:00:00+00:00,1.0,0.775,True
2026-04-12 12:16:25,KXBTCD-26APR1209-T71399.99,0.585,trade,yes,False,-50.0,BTC,2026-04-12 12:16:25+00:00,2026-04-12 12:00:00+00:00,1.0,0.585,False
2026-04-12 13:09:59,KXBTCD-26APR1210-T70999.99,0.665,trade,yes,False,-50.0,BTC,2026-04-12 13:09:59+00:00,2026-04-12 13:00:00+00:00,2.0,0.665,False
2026-04-12 13:22:47,KXBTCD-26APR1210-T70899.99,0.75,trade,yes,True,16.67,BTC,2026-04-12 13:22:47+00:00,2026-04-12 13:00:00+00:00,2.0,0.75,True
2026-04-12 13:48:29,KXBTCD-26APR1210-T71099.99,0.195,trade,no,True,12.11,BTC,2026-04-12 13:48:29+00:00,2026-04-12 13:00:00+00:00,2.0,0.8049999999999999,True
2026-04-12 14:01:24,KXBTCD-26APR1211-T70799.99,0.69,trade,yes,False,-50.0,BTC,2026-04-12 14:01:24+00:00,2026-04-12 14:00:00+00:00,2.0,0.69,False
2026-04-12 14:06:46,KXBTCD-26APR1211-T71199.99,0.195,trade,no,True,12.11,BTC,2026-04-12 14:06:46+00:00,2026-04-12 14:00:00+00:00,2.0,0.8049999999999999,True
2026-04-12 14:13:09,KXBTCD-26APR1211-T70899.99,0.725,trade,yes,False,-50.0,BTC,2026-04-12 14:13:09+00:00,2026-04-12 14:00:00+00:00,2.0,0.725,False
2026-04-12 15:16:33,KXBTCD-26APR1212-T70799.99,0.635,trade,yes,True,28.74,BTC,2026-04-12 15:16:33+00:00,2026-04-12 15:00:00+00:00,2.0,0.635,True
