feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,pnl_remainder
composite_p_up,>=0.5125(q0.4),330,0.5363636363636364,-0.07898484848484844,-2847.83,12,23.82676584284231,-0.06960451977401139,-890.38
composite_p_up,<0.5125(q0.4),177,0.6440677966101694,-0.06960451977401139,-890.38,12,24.500739644970416,-0.07898484848484844,-2847.83
composite_p_up,>=0.5205(q0.5),254,0.5393700787401575,-0.05238188976377944,-1995.7799999999997,12,30.56495532173636,-0.09913043478260863,-1742.43
composite_p_up,<0.5205(q0.5),253,0.6086956521739131,-0.09913043478260863,-1742.43,12,21.233042831503546,-0.05238188976377944,-1995.7799999999997
composite_p_up,>=0.5496(q0.6),205,0.5219512195121951,-0.05312195121951224,-1732.56,12,34.85834036415099,-0.09104304635761595,-2005.65
composite_p_up,<0.5496(q0.6),302,0.609271523178808,-0.09104304635761595,-2005.65,12,17.618443417682123,-0.05312195121951224,-1732.56
composite_p_up,>=0.5854(q0.7),153,0.5294117647058824,-0.06222222222222218,-1229.2199999999998,12,38.000914913083264,-0.08153954802259888,-2508.99
composite_p_up,<0.5854(q0.7),354,0.5932203389830508,-0.08153954802259888,-2508.99,12,17.48950773020219,-0.06222222222222218,-1229.2199999999998
composite_p_up,>=0.6075(q0.8),102,0.5686274509803921,-0.03294117647058825,-598.52,11,33.67587534876409,-0.08648148148148149,-3139.69
composite_p_up,<0.6075(q0.8),405,0.5753086419753086,-0.08648148148148149,-3139.69,12,20.479904891690985,-0.03294117647058825,-598.52
composite_p_up,>=0.6517(q0.9),52,0.5576923076923077,-0.01759615384615376,-217.63,7,42.399143388026324,-0.08235164835164843,-3520.580000000001
composite_p_up,<0.6517(q0.9),455,0.5758241758241758,-0.08235164835164843,-3520.580000000001,12,22.090597648186577,-0.01759615384615376,-217.63
composite_rev,>=-6(q0.1),464,0.5668103448275862,-0.07585129310344818,-3579.4199999999996,12,26.543506741181737,-0.07418604651162786,-158.79
composite_rev,<-6(q0.1),43,0.6511627906976745,-0.07418604651162786,-158.79,8,25.945603762067332,-0.07585129310344818,-3579.4199999999996
composite_rev,>=-3(q0.2),411,0.5474452554744526,-0.08323600973236023,-3368.77,12,22.47407807597432,-0.043489583333333415,-369.44
composite_rev,<-3(q0.2),96,0.6875,-0.043489583333333415,-369.44,10,17.85703736523409,-0.08323600973236023,-3368.77
composite_rev,>=-1(q0.3),358,0.5446927374301676,-0.06998603351955313,-2751.5899999999992,12,22.171181026243005,-0.08946308724832219,-986.62
composite_rev,<-1(q0.3),149,0.6442953020134228,-0.08946308724832219,-986.62,11,20.890748031496067,-0.06998603351955313,-2751.5899999999992
composite_rev,>=0(q0.4),322,0.5341614906832298,-0.07458074534161485,-2577.2699999999995,12,23.61995444792358,-0.07767567567567568,-1160.94
composite_rev,<0(q0.4),185,0.6432432432432432,-0.07767567567567568,-1160.94,11,26.826014853269882,-0.07458074534161485,-2577.2699999999995
composite_rev,>=0(q0.5),322,0.5341614906832298,-0.07458074534161485,-2577.2699999999995,12,23.61995444792358,-0.07767567567567568,-1160.94
composite_rev,<0(q0.5),185,0.6432432432432432,-0.07767567567567568,-1160.94,11,26.826014853269882,-0.07458074534161485,-2577.2699999999995
