decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode
2026-07-04 11:41:46.335446+00:00,KXBTC15M-26JUL040745-45,1.0,23.63,0.0746838213057523,0.0746838213057523,False,0.0002178269062093,4,4,0.25,0.00013746408640399367,0.00029886126226291894,4,10,-0.03738999895889704,36
2026-07-04 12:02:08.892371+00:00,KXBTC15M-26JUL040815-15,1.0,31.05,0.1472765978891009,0.0845602037189769,False,0.0001895424261925,10,13,0.3076923076923077,3.627763601493356e-05,5.3568696137141956e-05,3,5,0.0,36
2026-07-04 13:18:15.145783+00:00,KXBTC15M-26JUL040930-30,1.0,19.63,0.0556747360781367,0.0556747360781367,False,0.0005328868486785,8,12,0.1666666666666666,0.0001697978994548373,0.00019259598043702166,3,10,-1.5971376740719977e-05,37
2026-07-04 14:03:57.291971+00:00,KXBTC15M-26JUL041015-15,1.0,20.02,0.2169694183698022,0.0588204989260513,False,0.0003799100104948,9,12,0.3333333333333333,0.0003733752583400675,0.00028396273786284116,3,11,0.0,38
2026-07-04 16:22:57.805995+00:00,KXBTC15M-26JUL041230-30,1.0,15.35,0.1780154404253767,0.0225462905493092,False,0.0003643502826902,6,8,0.5,0.0005204982678490093,0.0003718977355888577,5,11,-0.020757918732112808,39
2026-07-04 16:33:05.248903+00:00,KXBTC15M-26JUL041245-45,1.0,32.48,0.0613774239146644,0.0613774239146644,False,0.0001011028621274,7,11,0.0909090909090909,0.000302364266227149,0.00037202916656140715,4,12,0.0,39
2026-07-04 17:18:37.680317+00:00,KXBTC15M-26JUL041330-30,1.0,27.03,0.3030309675395969,0.1177818813892107,False,0.0003168761569422,4,11,0.3636363636363636,0.0005847217333113427,0.0003516087618180479,4,8,-0.06874493055808327,40
2026-07-04 18:54:49.086799+00:00,KXBTC15M-26JUL041500-00,1.0,38.68,0.1070130656920032,0.0734344604820677,False,0.0001669310601364,4,5,0.2,0.00025443907337418403,0.00022666598991935558,4,8,-0.007856808399687134,41
2026-07-04 19:04:58.912747+00:00,KXBTC15M-26JUL041515-15,1.0,28.38,0.0180228667747739,-0.0744158902970564,False,0.0005133304370501,9,11,0.2727272727272727,0.00039989438403239787,0.00027676022565257944,3,11,0.0,41
2026-07-04 19:17:40.798952+00:00,KXBTC15M-26JUL041530-30,1.0,15.57,0.29675016497431,0.0901899427626182,False,0.0001960425650963,6,12,0.75,0.0008056360682899546,0.00045412363325070504,3,12,-0.13681567642848164,41
2026-07-04 20:03:16.448425+00:00,KXBTC15M-26JUL041615-15,1.0,35.28,0.0396803164088217,0.0396803164088217,False,0.000107050930883,3,12,0.0,0.000423227334438592,0.0002519411874263873,3,9,0.0,42
2026-07-04 22:35:26.921701+00:00,KXBTC15M-26JUL041845-45,1.0,31.07,0.027896819009318,0.027896819009318,False,0.0001749371552127,6,9,0.1111111111111111,0.0,0.0001983092716388505,1,5,0.0,43
2026-07-05 08:32:34.162289+00:00,KXBTC15M-26JUL050445-45,1.0,27.3,0.0230708024284116,0.0230708024284116,False,5.025463384211189e-05,2,12,0.0,0.00026364808617577063,0.0002827670433861998,5,10,-0.012917605695563623,44
