effective,trend,rev,p_pooled,p_rc,p_bull,p_sdwy,p_bear
2026-06-25 21:00:00+00:00,-2.0,1.0,0.5506030414263241,0.5318920912141586,1.6286519146199574e-59,1.0,1.8248839232182874e-32
2026-06-25 21:15:00+00:00,3.0,0.0,0.44529914529914527,0.46042619990440425,1.6286519146199574e-59,1.0,1.8248839232182874e-32
2026-06-25 21:30:00+00:00,6.0,0.0,0.40702781844802344,0.48074855596499627,1.6286519146199574e-59,1.0,1.8248839232182874e-32
2026-06-25 21:45:00+00:00,6.0,-1.0,0.42933884297520664,0.4776973183216813,1.6286519146199574e-59,1.0,1.8248839232182874e-32
2026-06-25 22:00:00+00:00,6.0,-2.0,0.4384533522525718,0.4819893412116107,7.760329756706977e-52,1.0,5.6288332397112474e-30
2026-06-25 22:15:00+00:00,-2.0,0.0,0.5398809523809524,0.5400738387797669,7.760329756706977e-52,1.0,5.6288332397112474e-30
2026-06-25 22:30:00+00:00,-2.0,0.0,0.5398809523809524,0.5400738387797669,7.760329756706977e-52,1.0,5.6288332397112474e-30
2026-06-25 22:45:00+00:00,1.0,0.0,0.474792243767313,0.48687605535318823,7.760329756706977e-52,1.0,5.6288332397112474e-30
2026-06-25 23:00:00+00:00,1.0,-1.0,0.4862047823421214,0.48265629825126466,7.171627812814101e-54,1.0,7.361119274871501e-31
2026-06-25 23:15:00+00:00,1.0,0.0,0.474792243767313,0.48687605535318823,7.171627812814101e-54,1.0,7.361119274871501e-31
2026-06-25 23:30:00+00:00,6.0,-1.0,0.42933884297520664,0.4776973183216813,7.171627812814101e-54,1.0,7.361119274871501e-31
2026-06-25 23:45:00+00:00,-1.0,0.0,0.49305169538632576,0.5126791694114583,7.171627812814101e-54,1.0,7.361119274871501e-31
2026-06-26 00:00:00+00:00,-3.0,1.0,0.5535917901938426,0.5195404653230692,8.008998593249492e-59,1.0,4.977334904702169e-33
2026-06-26 00:15:00+00:00,0.0,0.0,0.49698655540101994,0.5264740861373974,8.008998593249492e-59,1.0,4.977334904702169e-33
2026-06-26 00:30:00+00:00,0.0,1.0,0.45394736842105265,0.49455723946993235,8.008998593249492e-59,1.0,4.977334904702169e-33
2026-06-26 00:45:00+00:00,-2.0,0.0,0.5398809523809524,0.5400738387797669,8.008998593249492e-59,1.0,4.977334904702169e-33
2026-06-26 01:00:00+00:00,-5.0,1.0,0.5613415710503089,0.5760927455343816,1.3709373854338127e-54,1.0,5.827985379078132e-31
2026-06-26 01:15:00+00:00,-5.0,0.0,0.5401234567901234,0.5667703383061704,1.3709373854338127e-54,1.0,5.827985379078132e-31
2026-06-26 01:30:00+00:00,-6.0,3.0,0.5657254138266796,0.5460133808938743,1.3709373854338127e-54,1.0,5.827985379078132e-31
2026-06-26 01:45:00+00:00,-5.0,1.0,0.5613415710503089,0.5760927455343816,1.3709373854338127e-54,1.0,5.827985379078132e-31
2026-06-26 02:00:00+00:00,-1.0,0.0,0.49305169538632576,0.5126791694114583,1.3156064622847286e-61,1.0,2.3207587689376553e-34
2026-06-26 02:15:00+00:00,-6.0,3.0,0.5657254138266796,0.5460133808938743,1.3156064622847286e-61,1.0,2.3207587689376553e-34
2026-06-26 02:30:00+00:00,-1.0,-1.0,0.5423242467718795,0.5517783488802688,1.3156064622847286e-61,1.0,2.3207587689376553e-34
2026-06-26 02:45:00+00:00,-3.0,0.0,0.5505163897620117,0.5675170699055322,1.3156064622847286e-61,1.0,2.3207587689376553e-34
2026-06-26 03:00:00+00:00,-6.0,2.0,0.6028842771720014,0.5770957395156157,1.4877867263517508e-79,1.0,9.972542552720843e-46
2026-06-26 03:15:00+00:00,1.0,0.0,0.474792243767313,0.48687605535318823,1.4877867263517508e-79,1.0,9.972542552720843e-46
2026-06-26 03:30:00+00:00,2.0,-2.0,0.4119718309859155,0.4871245439749053,1.4877867263517508e-79,1.0,9.972542552720843e-46
2026-06-26 03:45:00+00:00,3.0,-2.0,0.44157814871016693,0.45041358172793755,1.4877867263517508e-79,1.0,9.972542552720843e-46
2026-06-26 04:00:00+00:00,6.0,-3.0,0.48055207026348806,0.5134401287022605,4.915930098343281e-65,1.0,3.082180327969931e-40
2026-06-26 04:15:00+00:00,5.0,-1.0,0.42368125701459036,0.39234038491636997,4.915930098343281e-65,1.0,3.082180327969931e-40
