decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode,ts,rv,ts2,er
2026-07-03 12:06:24.625998+00:00,KXBTC15M-26JUL030815-15,1.0,20.74,0.1281285164510645,0.0632514416198449,False,0.0004497720899535,7,9,0.3333333333333333,0.0005200197141819,0.0003973582218403,3,9,0.0,21,2026-07-03 12:06:00+00:00,0.6877913232370463,2026-07-03 12:06:00+00:00,0.21840585329499548
2026-07-03 14:18:27.966937+00:00,KXBTC15M-26JUL031030-30,1.0,30.87,0.2073299076256235,-0.0099833327153351,False,0.0005039923660659,7,12,0.4166666666666667,0.0011057719520166,0.0007574267171828,3,11,-0.187868711744706,22,2026-07-03 14:18:00+00:00,0.7671793206499232,2026-07-03 14:18:00+00:00,0.08114933443858834
2026-07-03 16:09:21.598275+00:00,KXBTC15M-26JUL031215-15,1.0,23.5,0.0237183386318613,0.0237183386318613,False,0.000631266868216,3,5,0.2,0.0003001175768305,0.0002208458135889,4,9,-0.0051812743901214,23,2026-07-03 16:09:00+00:00,0.8562874391231282,2026-07-03 16:09:00+00:00,0.0009410125294811433
2026-07-03 16:18:50.406300+00:00,KXBTC15M-26JUL031230-30,1.0,23.46,0.2659742400637903,0.0787425861901104,False,0.000480483357621,9,12,0.5,0.0002760239374957,0.0004159944742379,3,10,0.0,23,2026-07-03 16:18:00+00:00,0.804786509263546,2026-07-03 16:18:00+00:00,0.04438297981657835
2026-07-03 17:04:21.203708+00:00,KXBTC15M-26JUL031315-15,1.0,24.01,0.1874402203513859,0.1752967840531247,False,0.0003781735257637,6,11,0.2727272727272727,0.0004954132829079,0.0003791376822469,4,9,0.0,24,2026-07-03 17:04:00+00:00,0.6910003839204384,2026-07-03 17:04:00+00:00,0.031908152420677884
2026-07-03 17:39:46.315331+00:00,KXBTC15M-26JUL031345-45,1.0,9.63,0.0892941858432969,0.0660394027179686,False,0.0002754732225622,3,6,0.3333333333333333,0.0003423333832475,0.000466049945492,3,10,0.0,24,2026-07-03 17:39:00+00:00,0.5980504870143487,2026-07-03 17:39:00+00:00,0.13445131611374572
2026-07-03 18:35:26.985878+00:00,KXBTC15M-26JUL031445-45,1.0,22.09,0.1210339575336408,0.0706041475944121,False,0.0002564297674023,7,9,0.2222222222222222,0.0001442949729826,0.0002511268636626,4,8,-0.0165916452063163,25,2026-07-03 18:35:00+00:00,0.48607587200165764,2026-07-03 18:35:00+00:00,0.08599538816295708
2026-07-03 19:20:58.562448+00:00,KXBTC15M-26JUL031530-30,1.0,19.95,0.0259163147616591,0.0049984266403872,False,0.0002874902624166,7,10,0.2,0.000554294402889,0.0003812854081503,5,12,0.0,26,2026-07-03 19:20:00+00:00,0.4702247026315569,2026-07-03 19:20:00+00:00,0.028287534817405122
2026-07-03 20:47:03.556475+00:00,KXBTC15M-26JUL031700-00,1.0,57.12,0.1789061694481354,0.088616481117854,False,0.0004945820351221,6,12,0.3333333333333333,0.0007215308494772,0.0009398102056732,4,9,0.0,27,2026-07-03 20:47:00+00:00,0.9651321929167584,2026-07-03 20:47:00+00:00,0.21369981292272064
2026-07-03 21:46:13.404481+00:00,KXBTC15M-26JUL031800-00,1.0,33.17,0.2759693064137513,0.1377358841911682,False,0.0003936069694803,11,14,0.2857142857142857,0.0004251696753808,0.0004566518300561,3,8,-0.0284773897196298,28,2026-07-03 21:46:00+00:00,1.0290094360547566,2026-07-03 21:46:00+00:00,0.147759406740534
2026-07-03 22:21:39.008214+00:00,KXBTC15M-26JUL031830-30,1.0,12.24,-0.0155715414095204,-0.0155715414095204,False,0.0003428784975188,7,9,0.5555555555555556,0.000215629943147,0.0002093542812463,3,12,0.0,28,2026-07-03 22:21:00+00:00,0.8261519196150449,2026-07-03 22:21:00+00:00,0.008918328540221723
