logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,pu_ts,p_up_v2,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-05 19:03:18+00:00,KXBTC15M-26JUL051515-15,62763.19,62766.02,0.615,11.7,0.234194,1.0,2026-07-05 18:54:27+00:00,0.3583,0.45186282701804564,0.5354178870859685,-0.16313717298195435,0.15041788708596848,no,0.15041788708596848,0.0,0.385,2026-07-05
2026-07-04 01:26:30+00:00,KXBTC15M-26JUL032130-30,62432.13,62462.17,0.0985,3.5,0.446338,0.0,2026-07-04 01:02:06+00:00,0.7114,0.24890880804457566,0.7595501915919078,0.15040880804457565,-0.14194980840809213,yes,0.15040880804457565,0.0,0.0985,2026-07-04
2026-07-07 01:56:50+00:00,KXBTC15M-26JUL062200-00,63897.06,63897.01,0.655,3.2,0.450922,0.0,2026-07-07 01:45:22+00:00,0.5583,0.5075546236063673,0.4951474628232495,-0.14744537639363275,0.15014746282324953,no,0.15014746282324953,1.0,0.345,2026-07-07
2026-07-05 21:46:05+00:00,KXBTC15M-26JUL051800-00,62979.72,62957.71,0.405,13.9,0.293615,1.0,2026-07-05 21:16:57+00:00,0.3497,0.5551038229306692,0.43025018629984724,0.15010382293066915,-0.16474981370015274,yes,0.15010382293066915,1.0,0.405,2026-07-05
2026-07-04 14:24:12+00:00,KXBTC15M-26JUL041030-30,62625.88,62617.0,0.415,5.8,0.295315,0.0,2026-07-04 14:17:03+00:00,0.4899,0.5559125161281152,0.44346562133187517,0.14091251612811523,-0.1415343786681248,yes,0.14091251612811523,0.0,0.415,2026-07-04
2026-07-04 12:27:28+00:00,KXBTC15M-26JUL040830-30,62517.53,62512.75,0.835,2.5,0.122364,1.0,2026-07-04 12:26:49+00:00,0.4608,0.6982512213818945,0.300349575514649,-0.13674877861810542,0.135349575514649,no,0.135349575514649,0.0,0.16500000000000004,2026-07-04
2026-07-02 01:46:59+00:00,KXBTC15M-26JUL012200-00,60173.0,60137.47,0.825,13.0,0.493752,0.0,2026-07-02 01:46:15+00:00,0.6023,0.7003243079307415,0.30811747001183953,-0.12467569206925844,0.1331174700118395,no,0.1331174700118395,1.0,0.17500000000000004,2026-07-02
2026-07-05 12:46:37+00:00,KXBTC15M-26JUL050900-00,62662.87,62661.87,0.625,13.4,0.192528,1.0,2026-07-05 12:26:10+00:00,0.3497,0.48068626105896284,0.5047615251299591,-0.14431373894103716,0.1297615251299591,no,0.1297615251299591,0.0,0.375,2026-07-05
2026-07-06 08:55:54+00:00,KXBTC15M-26JUL060500-00,62840.64,62850.95,0.525,4.1,0.208479,0.0,2026-07-06 08:35:14+00:00,0.5917,0.4007400411871914,0.6039394090083539,-0.1242599588128086,0.12893940900835388,no,0.12893940900835388,1.0,0.475,2026-07-06
2026-07-07 08:18:08+00:00,KXBTC15M-26JUL070430-30,63064.07,63085.09,0.5,11.9,0.205225,0.0,2026-07-07 08:15:25+00:00,0.5397,0.3748338077394092,0.6285275014878562,-0.12516619226059078,0.1285275014878562,no,0.1285275014878562,1.0,0.5,2026-07-07
2026-07-01 19:42:20+00:00,KXBTC15M-26JUL011545-45,60109.11,60100.72,0.775,2.7,0.329074,1.0,2026-07-01 19:42:09+00:00,0.5723,0.650086981180751,0.3527807373965104,-0.12491301881924899,0.1277807373965104,no,0.1277807373965104,0.0,0.22499999999999998,2026-07-01
2026-07-04 03:23:34+00:00,KXBTC15M-26JUL032330-30,62499.29,62508.4,0.535,6.4,0.166493,0.0,2026-07-04 02:01:00+00:00,0.5659,0.4114666125813718,0.5927456037654749,-0.12353338741862824,0.12774560376547495,no,0.12774560376547495,1.0,0.46499999999999997,2026-07-04
2026-07-08 00:21:37+00:00,KXBTC15M-26JUL072030-30,63447.6,63469.28,0.515,8.4,0.298488,1.0,2026-07-08 00:06:54+00:00,0.5057,0.38834570531580764,0.6120639783808103,-0.12665429468419237,0.1270639783808103,no,0.1270639783808103,0.0,0.485,2026-07-08
2026-07-05 15:39:26+00:00,KXBTC15M-26JUL051145-45,62752.62,62728.8,0.855,5.6,0.33019,0.0,2026-07-05 15:21:27+00:00,0.4336,0.7245436474812957,0.2720548513552097,-0.13045635251870424,0.12705485135520966,no,0.12705485135520966,1.0,0.14500000000000002,2026-07-05
2026-07-03 10:04:39+00:00,KXBTC15M-26JUL030615-15,61647.42,61661.25,0.525,10.3,0.168551,1.0,2026-07-03 09:14:52+00:00,0.6358,0.409553261707008,0.6015918921361351,-0.11544673829299201,0.1265918921361351,no,0.1265918921361351,0.0,0.475,2026-07-03
