logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,week,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,era
2026-05-23 21:53:45+00:00,KXBTC15M-26MAY231800-00,76617.51,76587.99,0.665,6.2,0.730864,1.0,2026-05-18/2026-05-24,2026-05-23 21:45:00+00:00,0.5741538461538461,0.6151830665360268,0.38941885173232704,-0.0498169334639732,0.05441885173232708,no,0.05441885173232708,0.0,0.33499999999999996,pre-07-01 (held-out)
2026-05-25 09:56:40+00:00,KXBTC15M-26MAY250600-00,77546.28,77510.64,0.9175,3.3,0.228708,1.0,2026-05-25/2026-05-31,2026-05-25 09:45:00+00:00,0.4390243902439024,0.8616214911748943,0.13679546435356627,-0.0558785088251057,0.05429546435356625,no,0.05429546435356625,0.0,0.08250000000000002,pre-07-01 (held-out)
2026-07-03 21:46:13+00:00,KXBTC15M-26JUL031800-00,62568.08,62549.23,0.665,13.8,0.402053,1.0,2026-06-29/2026-07-05,2026-07-03 21:45:00+00:00,0.5718540580789278,0.6173925895003729,0.38925176022972396,-0.047607410499627134,0.054251760229724,no,0.054251760229724,0.0,0.33499999999999996,07-01+ (s23 window)
2026-07-07 00:20:22+00:00,KXBTC15M-26JUL062030-30,64056.1,63996.65,0.895,9.6,0.314085,1.0,2026-07-06/2026-07-12,2026-07-06 17:00:00+00:00,0.571072319201995,0.8442093162069517,0.1592412830072938,-0.0507906837930483,0.054241283007293806,no,0.054241283007293806,0.0,0.10499999999999998,07-01+ (s23 window)
2026-05-25 13:49:34+00:00,KXBTC15M-26MAY251000-00,77253.26,77243.66,0.665,10.4,0.198507,1.0,2026-05-25/2026-05-31,2026-05-25 13:45:00+00:00,0.6012759170653907,0.6189289201739748,0.3892407365082735,-0.04607107982602521,0.054240736508273546,no,0.054240736508273546,0.0,0.33499999999999996,pre-07-01 (held-out)
2026-05-25 03:11:18+00:00,KXBTC15M-26MAY242315-15,77025.45,77022.77,0.465,3.7,0.28193,0.0,2026-05-25/2026-05-31,2026-05-25 03:00:00+00:00,0.5041291291291291,0.519062264448257,0.48114258302767654,0.05406226444825696,-0.05385741697232338,yes,0.05406226444825696,0.0,0.465,pre-07-01 (held-out)
2026-05-23 10:47:47+00:00,KXBTC15M-26MAY230700-00,74652.81,74689.24,0.275,12.2,0.088113,0.0,2026-05-18/2026-05-24,2026-05-23 10:45:00+00:00,0.3542234332425068,0.21106470912244613,0.7790558308339999,-0.0639352908775539,0.054055830833999896,no,0.054055830833999896,1.0,0.725,pre-07-01 (held-out)
2026-07-06 02:19:21+00:00,KXBTC15M-26JUL052230-30,63434.87,63395.83,0.765,10.6,0.384209,1.0,2026-07-06/2026-07-12,2026-07-06 02:15:00+00:00,0.576899320568252,0.7165088882537128,0.2890384397967546,-0.048491111746287174,0.0540384397967546,no,0.0540384397967546,0.0,0.235,07-01+ (s23 window)
2026-07-06 22:08:19+00:00,KXBTC15M-26JUL061815-15,64279.98,64397.01,0.11,6.7,0.672179,0.0,2026-07-06/2026-07-12,2026-07-06 17:00:00+00:00,0.571072319201995,0.1639354995957874,0.8390061141862268,0.0539354995957874,-0.050993885813773177,yes,0.0539354995957874,0.0,0.11,07-01+ (s23 window)
2026-05-27 17:23:20+00:00,KXBTC15M-26MAY271330-30,74929.83,74845.13,0.895,6.7,0.458647,1.0,2026-05-25/2026-05-31,2026-05-27 17:15:00+00:00,0.5959119496855346,0.8451684368561405,0.15872702642943537,-0.0498315631438595,0.05372702642943539,no,0.05372702642943539,0.0,0.10499999999999998,pre-07-01 (held-out)
